mode,result_dir,matched_frames,gt_start_idx,gt_end_idx,ate_rmse_m,sim3_scale,trel_pct,rrel_deg_per_100m,status
KITTI07_VO_ORIGINAL,results/frontend/kitti07_vo/05-23-23-06-kitti_sync-kitti07_vo-,233,10,1061,19.485853,4.518168,14.171275,3.201596,ran_below_target
KITTI07_VO_DENSE,results/frontend/kitti07_vo_dense/05-25-17-33-kitti_sync-kitti07_vo_dense-,727,0,1047,13.043128,3.821954,9.759937,3.002223,best_vo_but_below_target
KITTI07_VIO_ORIGINAL,results/frontend/kitti07_vio/05-25-17-08-kitti_sync-kitti07_vio-,736,0,1055,72.524843,0.004110,63.152289,65.343844,ran_failed_accuracy
KITTI07_VIO_DENSE,results/frontend/kitti07_vio_dense/05-25-17-37-kitti_sync-kitti07_vio_dense-,737,0,1055,72.210345,0.002824,68.725937,65.566344,ran_failed_accuracy
KITTI07_VIO_GUARDED,results/frontend/kitti07_vio/05-26-14-32-kitti_sync-kitti07_vio-,346,0,1019,64.620664,0.059111,61.143212,24.544240,ran_failed_accuracy_native_gtsam_guarded
Waymo01,,,,,,,,,blocked_no_dataset_found
KITTI07_VIO_DELAY0,results/frontend/kitti07_vio/05-31-16-37-kitti_sync-kitti07_vio_delay0-,511,0,1055,61.4146,0.006443,78.8081,43.4801,ran_failed_delay0_worse_10hz_not_root_cause
KITTI07_VIO_FIXED_MARG,results/frontend/kitti07_vio/05-31-17-07-kitti_sync-kitti07_vio-,397,0,1055,74.8485,0.019996,59.8881,36.1001,ran_fixed_marg_native_first_still_bad_scale
KITTI07_VIO_NATIVE_PRIVATE_APIS,results/frontend/kitti07_vio/06-01-10-27-kitti_sync-kitti07_vio-,359,0,1016,39.710914,0.874723,23.189987,5.952185,ran_native_ba2gtsam_customhessian_safe_native_marg_improved_but_below_target
KITTI07_VIO_OFFICIAL_TRACKING_GUARDED,results/frontend/kitti07_vio/06-01-10-50-kitti_sync-kitti07_vio-_official_tracking,360,0,1016,36.017960,0.931983,20.840509,9.466777,best_tested_public_repo_path_but_below_paper
